K-1,¡ãC,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24
0,3/11/2024,1:40:19,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.5,29.4,29.4,29.3,25.6,1999.9,25.6,25.9
1,3/11/2024,1:40:29,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.5,29.4,29.3,29.3,25.6,1999.9,25.6,25.8
2,3/11/2024,1:40:39,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.4,29.3,29.3,25.6,1999.9,25.6,25.9
3,3/11/2024,1:40:49,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.4,29.3,29.3,25.6,1999.9,25.6,25.8
4,3/11/2024,1:41:00,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.2,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.4,29.3,29.3,25.6,1999.9,25.6,25.8
5,3/11/2024,1:41:10,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.2,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.2,25.6,1999.9,25.7,25.9
6,3/11/2024,1:41:20,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.2,25.6,1999.9,25.6,25.8
7,3/11/2024,1:41:30,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.2,25.6,1999.9,25.6,25.9
8,3/11/2024,1:41:40,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.2,25.6,1999.9,25.6,25.9
9,3/11/2024,1:41:50,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.2,25.6,1999.9,25.6,25.9
10,3/11/2024,1:42:00,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.3,25.6,1999.9,25.7,25.9
11,3/11/2024,1:42:10,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.3,25.6,1999.9,25.7,25.9
12,3/11/2024,1:42:20,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.2,25.6,1999.9,25.7,25.9
13,3/11/2024,1:42:30,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.2,25.6,1999.9,25.7,25.9
14,3/11/2024,1:42:41,29.6,29.9,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.2,25.6,1999.9,25.7,25.9
15,3/11/2024,1:42:51,29.6,29.8,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.2,25.6,1999.9,25.7,25.9
16,3/11/2024,1:43:01,29.6,29.9,29.6,29.4,29.2,29,28.3,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.2,25.6,1999.9,25.7,25.9
17,3/11/2024,1:43:11,29.6,29.8,29.6,29.4,29.2,29.1,28.3,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.3,25.6,1999.9,25.7,25.9
18,3/11/2024,1:43:21,29.6,29.9,29.6,29.4,29.2,29.1,28.3,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.3,25.7,1999.9,25.7,25.9
19,3/11/2024,1:43:31,29.6,29.8,29.6,29.4,29.2,29,28.3,26.8,1999.9,30.2,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.3,25.6,1999.9,25.7,25.9
20,3/11/2024,1:43:41,29.6,29.9,29.6,29.4,29.2,29,28.3,26.8,1999.9,30.1,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.3,25.6,1999.9,25.7,25.9
21,3/11/2024,1:43:51,29.6,29.9,29.6,29.4,29.2,29,28.3,26.8,1999.9,30.2,28.7,29.4,1999.9,1999.9,1999.9,1999.9,29.4,29.4,29.3,29.3,25.6,1999.9,25.7,25.9
22,3/11/2024,1:44:01,29.6,29.8,29.6,29.4,29.2,29,28.3,26.8,1999.9,30.1,28.7,29.5,1999.9,1999.9,1999.9,1999.9,29.4,29.3,29.3,29.3,25.6,1999.9,25.7,25.9
23,3/11/2024,1:44:11,29.6,29.8,29.6,29.4,29.2,29,28.3,26.8,1999.9,30.2,28.7,29.5,1999.9,1999.9,1999.9,1999.9,29.4,29.4,29.3,29.3,25.6,1999.9,25.7,25.9
24,3/11/2024,1:44:22,29.6,29.8,29.6,29.4,29.2,29,28.3,26.8,1999.9,30.2,28.7,29.5,1999.9,1999.9,1999.9,1999.9,29.5,29.4,29.4,29.4,25.6,1999.9,25.7,25.9
25,3/11/2024,1:44:32,29.6,29.8,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.2,28.7,29.5,1999.9,1999.9,1999.9,1999.9,29.5,29.4,29.4,29.4,25.6,1999.9,25.7,25.9
26,3/11/2024,1:44:42,29.6,29.8,29.6,29.4,29.2,29,28.2,26.8,1999.9,30.2,28.7,29.5,1999.9,1999.9,1999.9,1999.9,29.5,29.4,29.4,29.4,25.6,1999.9,25.7,25.9
